ชื่อปั๊มน้ำมัน,แบรนด์,Latitude,Longitude,Google Maps Link,ห่างจากปั๊มก่อนหน้า (KM),น้องกิ๊ฟท์น้องมิ้นท์,เสี่ยโอ๊ค เห้ยโห,,,ฟังชั่นที่เเอบคิดได้สำหรับ ตัว App,Future improvement 
PT (Mae Kham Mee),PT (พีที),18.19642,100.1912,https://maps.google.com/?cid=11379991963598094095&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,3.1,อันนี้อยุ่ฝั่งตรงข้าม ไม่แน่ใจระยะทางค่ะ ดูเลี้ยวไกลมาก,อะเคค ✅,,,,
ปั๊มน้ำมันบางจาก - หสน.ธวัชบริการแพร่,Bangchak (บางจาก),18.18998,100.1881,https://maps.google.com/?cid=16597013311972795590&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.58,✅,,,,,
PTT Station (Petrol+EV),PTT (ปตท),18.18828,100.1859,https://maps.google.com/?cid=7859689836864147509&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.58,✅,,,,,
Shell,Shell (เชลล์),18.18954,100.1868,https://maps.google.com/?cid=17375199744288227198&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0,✅,,,,,
PT ปั๊มน้ำมัน พีที แพร่4,PT (พีที),18.15921,100.1766,https://maps.google.com/?cid=8533352022282183023&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,3.28,✅,,,,,
PTT Station (Petrol+NGV+EV),PTT (ปตท),18.11697,100.1535,https://maps.google.com/?cid=1742812554384178027&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,5.67,✅,,,,,
PT Gas Station,PT (พีที),18.1042,100.135,https://maps.google.com/?cid=11220499226266222102&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2.54,✅,,,,,
PT,PT (พีที),18.09264,100.1311,https://maps.google.com/?cid=3842969588575543063&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.04,✅,,,,,
PT,PT (พีที),18.09003,100.1288,https://maps.google.com/?cid=2102657613065849271&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.52,✅,อ๋อ เพราะมันมาเส้นนี้ มันก็เลยเรียงเเบบนั้น ออกมาเส้นอิตตระราดุต,,,,
Susco,Susco (ซัสโก้),18.08685,100.1268,https://maps.google.com/?cid=13953579229030005572&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,3.5,อันนี้ยูเทิร์น ฝั่งตรงข้าม,U-turn ✅,,,,
